,,LR,GBT,DClf,csAVG,csGEO,csMIN
roc_auc,69,0.79681,0.87064,0.49219,0.56322,0.56189,0.56621
roc_auc,70,0.84607,0.87041,0.48523,0.58357,0.57889,0.60022
roc_auc,71,0.80892,0.8247,0.53214,0.53076,0.51535,0.59192
roc_auc,72,0.80914,0.84393,0.47949,0.56137,0.55811,0.56696
roc_auc,73,0.83334,0.87363,0.48535,0.6011,0.59174,0.63307
roc_auc,74,0.80146,0.85913,0.50087,0.52669,0.51838,0.56866
roc_auc,75,0.79895,0.86644,0.50867,0.58464,0.57494,0.61969
roc_auc,76,0.8158,0.88736,0.47852,0.52603,0.51941,0.55458
roc_auc,77,0.82993,0.89276,0.52344,0.58119,0.57504,0.58244
roc_auc,78,0.81281,0.86035,0.47548,0.59753,0.59381,0.60792
roc_auc,79,0.78538,0.82433,0.49791,0.57465,0.55874,0.65234
roc_auc,80,0.81512,0.88382,0.51758,0.5955,0.57336,0.68524
roc_auc,81,0.84448,0.87616,0.4873,0.57474,0.573,0.57286
roc_auc,82,0.79477,0.8639,0.53798,0.51488,0.5111,0.54402
roc_auc,83,0.80794,0.81993,0.48231,0.59335,0.59094,0.59034
roc_auc,84,0.79526,0.85156,0.4668,0.58385,0.56967,0.63332
roc_auc,85,0.83347,0.8833,0.47461,0.60529,0.59784,0.63063
roc_auc,86,0.77033,0.85292,0.49012,0.552,0.54724,0.56469
roc_auc,87,0.82076,0.85335,0.47938,0.53752,0.53146,0.56547
roc_auc,88,0.7919,0.85202,0.51562,0.57407,0.56467,0.60089
roc_auc,89,0.81494,0.87125,0.4668,0.55359,0.54144,0.61319
roc_auc,90,0.84048,0.89524,0.49306,0.55839,0.55238,0.5695
roc_auc,91,0.80204,0.82984,0.49304,0.5906,0.58415,0.60584
roc_auc,92,0.83734,0.87103,0.51758,0.56709,0.56143,0.5881
roc_auc,93,0.8194,0.86487,0.49609,0.54779,0.54138,0.56432
roc_auc,94,0.8051,0.84464,0.45887,0.59311,0.58464,0.63142
roc_auc,95,0.78926,0.81733,0.51747,0.56943,0.55681,0.60386
roc_auc,96,0.85214,0.88126,0.53613,0.60489,0.60669,0.59735
roc_auc,97,0.73355,0.79279,0.48145,0.5076,0.49796,0.52365
roc_auc,98,0.79954,0.82519,0.5214,0.56008,0.54724,0.62228
roc_auc,99,0.85938,0.90261,0.50769,0.60353,0.5936,0.64708
roc_auc,100,0.77356,0.85007,0.51367,0.50005,0.49353,0.53101
roc_auc,101,0.84198,0.90906,0.44531,0.60583,0.59656,0.62238
roc_auc,102,0.82712,0.86561,0.49696,0.54131,0.53437,0.59902
roc_auc,103,0.80106,0.82335,0.46864,0.63183,0.62243,0.63822
roc_auc,104,0.78235,0.83456,0.50586,0.48062,0.47412,0.50815
roc_auc,105,0.84747,0.87003,0.53711,0.62746,0.62271,0.64488
roc_auc,106,0.83112,0.86072,0.48621,0.55073,0.5421,0.59384
roc_auc,107,0.78844,0.83207,0.49991,0.61968,0.60745,0.64813
roc_auc,108,0.82886,0.87076,0.52344,0.5811,0.57425,0.60085
roc_auc,109,0.83136,0.83011,0.50781,0.57336,0.56985,0.58954
roc_auc,110,0.78058,0.85574,0.5165,0.59513,0.58265,0.61722
roc_auc,111,0.79018,0.85601,0.52136,0.52854,0.51819,0.58296
roc_auc,112,0.83926,0.87268,0.46191,0.57463,0.56619,0.59526
roc_auc,113,0.82248,0.88541,0.50098,0.58871,0.57452,0.64348
roc_auc,114,0.78957,0.85194,0.50281,0.56652,0.56519,0.57949
roc_auc,115,0.81504,0.86084,0.50378,0.5466,0.53948,0.57311
roc_auc,116,0.76691,0.85443,0.49414,0.57332,0.56891,0.58638
roc_auc,117,0.82407,0.88055,0.51074,0.53159,0.53006,0.55751
roc_auc,118,0.78871,0.83926,0.52724,0.53078,0.52082,0.58189
roc_auc,119,0.83715,0.84436,0.49402,0.64364,0.62839,0.66723
