,chi,metric,val_idx,vs_method,score
262,chi_0.75,nef,22,LR,0.14384
263,chi_0.75,nef,23,LR,0.08904
264,chi_0.75,nef,24,LR,0.08904
265,chi_0.75,nef,25,LR,0.12925
266,chi_0.75,nef,26,LR,0.08904
267,chi_0.75,nef,27,LR,0.09589
268,chi_0.75,nef,28,LR,0.13014
269,chi_0.75,nef,29,LR,0.12925
270,chi_0.75,nef,30,LR,0.17123
271,chi_0.75,nef,31,LR,0.13699
272,chi_0.75,nef,32,LR,0.09589
273,chi_0.75,nef,33,LR,0.12925
274,chi_0.75,nef,34,LR,0.10959
275,chi_0.75,nef,35,LR,0.16438
276,chi_0.75,nef,36,LR,0.15068
277,chi_0.75,nef,37,LR,0.11565
278,chi_0.75,nef,38,LR,0.10274
279,chi_0.75,nef,39,LR,0.13014
280,chi_0.75,nef,40,LR,0.15646
281,chi_0.75,nef,41,LR,0.10274
282,chi_0.75,nef,42,LR,0.16438
283,chi_0.75,nef,43,LR,0.13699
284,chi_0.75,nef,44,LR,0.09589
285,chi_0.75,nef,45,LR,0.10884
286,chi_0.75,nef,46,LR,0.13699
287,chi_0.75,nef,47,LR,0.10274
288,chi_0.75,nef,48,LR,0.15753
289,chi_0.75,nef,49,LR,0.12245
290,chi_0.75,nef,50,LR,0.13014
291,chi_0.75,nef,51,LR,0.12329
292,chi_0.75,nef,52,LR,0.15753
293,chi_0.75,nef,53,LR,0.18367
294,chi_0.75,nef,54,LR,0.06164
295,chi_0.75,nef,55,LR,0.13699
296,chi_0.75,nef,56,LR,0.10884
297,chi_0.75,nef,57,LR,0.12329
298,chi_0.75,nef,58,LR,0.19178
299,chi_0.75,nef,59,LR,0.12329
300,chi_0.75,nef,60,LR,0.12329
301,chi_0.75,nef,61,LR,0.15646
302,chi_0.75,nef,62,LR,0.11644
303,chi_0.75,nef,63,LR,0.13699
304,chi_0.75,nef,64,LR,0.14286
305,chi_0.75,nef,65,LR,0.10959
306,chi_0.75,nef,66,LR,0.16438
307,chi_0.75,nef,67,LR,0.13699
308,chi_0.75,nef,68,LR,0.13699
309,chi_0.75,nef,69,LR,0.12925
310,chi_0.75,nef,70,LR,0.10959
311,chi_0.75,nef,71,LR,0.10959
312,chi_0.75,nef,72,LR,0.15753
313,chi_0.75,nef,73,LR,0.11565
314,chi_0.75,nef,74,LR,0.13699
315,chi_0.75,nef,75,LR,0.12329
316,chi_0.75,nef,76,LR,0.15646
317,chi_0.75,nef,77,LR,0.16438
318,chi_0.75,nef,78,LR,0.10274
319,chi_0.75,nef,79,LR,0.10274
320,chi_0.75,nef,80,LR,0.15753
321,chi_0.75,nef,81,LR,0.13605
322,chi_0.75,nef,82,LR,0.14384
323,chi_0.75,nef,83,LR,0.14384
324,chi_0.75,nef,84,LR,0.13699
325,chi_0.75,nef,85,LR,0.13605
326,chi_0.75,nef,86,LR,0.17123
327,chi_0.75,nef,87,LR,0.10274
328,chi_0.75,nef,88,LR,0.13699
329,chi_0.75,nef,89,LR,0.14966
330,chi_0.75,nef,90,LR,0.10274
331,chi_0.75,nef,91,LR,0.20548
332,chi_0.75,nef,92,LR,0.13014
333,chi_0.75,nef,93,LR,0.16327
334,chi_0.75,nef,94,LR,0.10959
335,chi_0.75,nef,95,LR,0.13014
336,chi_0.75,nef,96,LR,0.08904
337,chi_0.75,nef,97,LR,0.10204
338,chi_0.75,nef,98,LR,0.14384
339,chi_0.75,nef,99,LR,0.10274
340,chi_0.75,nef,100,LR,0.15068
341,chi_0.75,nef,101,LR,0.10204
342,chi_0.75,nef,102,LR,0.11644
343,chi_0.75,nef,103,LR,0.13014
344,chi_0.75,nef,104,LR,0.13014
345,chi_0.75,nef,105,LR,0.15646
346,chi_0.75,nef,106,LR,0.10959
347,chi_0.75,nef,107,LR,0.12329
348,chi_0.75,nef,108,LR,0.10274
349,chi_0.75,nef,109,LR,0.10204
350,chi_0.75,nef,110,LR,0.14384
351,chi_0.75,nef,111,LR,0.10274
352,chi_0.75,nef,112,LR,0.11565
353,chi_0.75,nef,113,LR,0.08904
354,chi_0.75,nef,114,LR,0.13014
355,chi_0.75,nef,115,LR,0.11644
356,chi_0.75,nef,116,LR,0.08904
357,chi_0.75,nef,117,LR,0.10884
358,chi_0.75,nef,118,LR,0.12329
359,chi_0.75,nef,119,LR,0.12329
360,chi_0.75,roc_auc,0,LR,0.52548
361,chi_0.75,roc_auc,1,LR,0.58368
362,chi_0.75,roc_auc,2,LR,0.5938
363,chi_0.75,roc_auc,3,LR,0.50515
364,chi_0.75,roc_auc,4,LR,0.596
365,chi_0.75,roc_auc,5,LR,0.58558
366,chi_0.75,roc_auc,6,LR,0.54522
367,chi_0.75,roc_auc,7,LR,0.61703
368,chi_0.75,roc_auc,8,LR,0.62476
369,chi_0.75,roc_auc,9,LR,0.57288
370,chi_0.75,roc_auc,10,LR,0.57033
371,chi_0.75,roc_auc,11,LR,0.54491
372,chi_0.75,roc_auc,12,LR,0.62988
373,chi_0.75,roc_auc,13,LR,0.58859
374,chi_0.75,roc_auc,14,LR,0.62891
375,chi_0.75,roc_auc,15,LR,0.58286
376,chi_0.75,roc_auc,16,LR,0.60147
377,chi_0.75,roc_auc,17,LR,0.61631
378,chi_0.75,roc_auc,18,LR,0.53782
379,chi_0.75,roc_auc,19,LR,0.5814
380,chi_0.75,roc_auc,20,LR,0.56586
381,chi_0.75,roc_auc,21,LR,0.58345
382,chi_0.75,roc_auc,22,LR,0.62726
383,chi_0.75,roc_auc,23,LR,0.57054
384,chi_0.75,roc_auc,24,LR,0.6031
385,chi_0.75,roc_auc,25,LR,0.58411
386,chi_0.75,roc_auc,26,LR,0.56761
387,chi_0.75,roc_auc,27,LR,0.57099
388,chi_0.75,roc_auc,28,LR,0.56981
389,chi_0.75,roc_auc,29,LR,0.6192
390,chi_0.75,roc_auc,30,LR,0.59735
391,chi_0.75,roc_auc,31,LR,0.59585
392,chi_0.75,roc_auc,32,LR,0.56346
393,chi_0.75,roc_auc,33,LR,0.56487
394,chi_0.75,roc_auc,34,LR,0.55874
395,chi_0.75,roc_auc,35,LR,0.55823
396,chi_0.75,roc_auc,36,LR,0.61424
397,chi_0.75,roc_auc,37,LR,0.60641
398,chi_0.75,roc_auc,38,LR,0.60661
399,chi_0.75,roc_auc,39,LR,0.58877
400,chi_0.75,roc_auc,40,LR,0.61243
401,chi_0.75,roc_auc,41,LR,0.54947
402,chi_0.75,roc_auc,42,LR,0.61208
403,chi_0.75,roc_auc,43,LR,0.59797
404,chi_0.75,roc_auc,44,LR,0.51644
405,chi_0.75,roc_auc,45,LR,0.6091
406,chi_0.75,roc_auc,46,LR,0.65608
407,chi_0.75,roc_auc,47,LR,0.57849
408,chi_0.75,roc_auc,48,LR,0.58222
409,chi_0.75,roc_auc,49,LR,0.56295
410,chi_0.75,roc_auc,50,LR,0.61086
411,chi_0.75,roc_auc,51,LR,0.57847
412,chi_0.75,roc_auc,52,LR,0.60533
413,chi_0.75,roc_auc,53,LR,0.60247
414,chi_0.75,roc_auc,54,LR,0.57274
415,chi_0.75,roc_auc,55,LR,0.59009
416,chi_0.75,roc_auc,56,LR,0.55277
417,chi_0.75,roc_auc,57,LR,0.58246
418,chi_0.75,roc_auc,58,LR,0.58537
419,chi_0.75,roc_auc,59,LR,0.54456
420,chi_0.75,roc_auc,60,LR,0.58792
421,chi_0.75,roc_auc,61,LR,0.63251
422,chi_0.75,roc_auc,62,LR,0.62083
423,chi_0.75,roc_auc,63,LR,0.60243
424,chi_0.75,roc_auc,64,LR,0.59357
425,chi_0.75,roc_auc,65,LR,0.57045
426,chi_0.75,roc_auc,66,LR,0.59643
427,chi_0.75,roc_auc,67,LR,0.60648
428,chi_0.75,roc_auc,68,LR,0.59541
429,chi_0.75,roc_auc,69,LR,0.60129
430,chi_0.75,roc_auc,70,LR,0.58064
431,chi_0.75,roc_auc,71,LR,0.60706
432,chi_0.75,roc_auc,72,LR,0.5955
433,chi_0.75,roc_auc,73,LR,0.61991
434,chi_0.75,roc_auc,74,LR,0.61305
