,,LR,GBT,DClf,csAVG,csGEO,csMIN
roc_auc,8,0.78114,0.86827,0.48907,0.63858,0.64012,0.60646
roc_auc,9,0.86641,0.90456,0.48509,0.64542,0.64575,0.6453
roc_auc,10,0.84861,0.85858,0.5191,0.68198,0.68339,0.6397
roc_auc,11,0.8264,0.88815,0.52805,0.59575,0.59631,0.5804
roc_auc,12,0.8477,0.90196,0.49709,0.68805,0.68895,0.6609
roc_auc,13,0.85642,0.86846,0.49505,0.65356,0.65407,0.6457
roc_auc,14,0.79504,0.84836,0.49007,0.59294,0.59447,0.55921
roc_auc,15,0.8159,0.84336,0.52045,0.62708,0.62776,0.60482
roc_auc,16,0.80606,0.89242,0.50241,0.59898,0.60057,0.57488
roc_auc,17,0.80961,0.86355,0.49235,0.6445,0.64577,0.61099
roc_auc,18,0.87164,0.91046,0.49572,0.67738,0.67724,0.67778
roc_auc,19,0.84157,0.86226,0.50535,0.64423,0.64521,0.60621
roc_auc,20,0.8058,0.89133,0.51836,0.61631,0.61739,0.58441
roc_auc,21,0.85591,0.87597,0.4834,0.67632,0.67686,0.64278
roc_auc,22,0.8267,0.84364,0.48602,0.62716,0.62832,0.60575
roc_auc,23,0.82088,0.90235,0.5061,0.64578,0.64615,0.63674
roc_auc,24,0.84482,0.86787,0.50941,0.62281,0.62395,0.5895
roc_auc,25,0.84492,0.87629,0.50374,0.68741,0.68795,0.66677
roc_auc,26,0.84735,0.88773,0.49471,0.63398,0.63434,0.61004
roc_auc,27,0.7771,0.83522,0.49007,0.62146,0.62241,0.60504
roc_auc,28,0.80811,0.88322,0.49574,0.62891,0.63013,0.60962
roc_auc,29,0.84325,0.88116,0.49176,0.68107,0.6814,0.66525
roc_auc,30,0.84051,0.88851,0.5234,0.69742,0.69822,0.68423
roc_auc,31,0.81401,0.84766,0.52104,0.55676,0.55757,0.51013
roc_auc,32,0.8287,0.87601,0.52046,0.67357,0.67508,0.63779
roc_auc,33,0.81427,0.85252,0.48239,0.66577,0.66686,0.647
roc_auc,34,0.83164,0.865,0.50205,0.59688,0.59818,0.57557
roc_auc,35,0.80299,0.86891,0.49674,0.62964,0.62944,0.61019
roc_auc,36,0.82183,0.86306,0.50376,0.63663,0.63926,0.57571
roc_auc,37,0.83256,0.87842,0.52475,0.63408,0.63509,0.60422
roc_auc,38,0.82483,0.90383,0.49074,0.65097,0.6519,0.63813
roc_auc,39,0.81883,0.87266,0.5061,0.64481,0.644,0.65241
roc_auc,40,0.81962,0.86986,0.50443,0.65055,0.65184,0.61108
roc_auc,41,0.82586,0.88343,0.50737,0.64035,0.64186,0.61067
roc_auc,42,0.79983,0.84141,0.48704,0.62093,0.62124,0.61922
roc_auc,43,0.86227,0.87776,0.53007,0.65322,0.65411,0.62788
roc_auc,44,0.81597,0.83826,0.49507,0.64739,0.64923,0.59378
roc_auc,45,0.81303,0.84055,0.48602,0.63559,0.6362,0.60521
