,chi,metric,val_idx,vs_method,score
444,chi_0.75,roc_auc,84,LR,0.53671
445,chi_0.75,roc_auc,85,LR,0.4601
446,chi_0.75,roc_auc,86,LR,0.50928
447,chi_0.75,roc_auc,87,LR,0.50179
448,chi_0.75,roc_auc,88,LR,0.55311
449,chi_0.75,roc_auc,89,LR,0.52669
450,chi_0.75,roc_auc,90,LR,0.5679
451,chi_0.75,roc_auc,91,LR,0.56308
452,chi_0.75,roc_auc,92,LR,0.52345
453,chi_0.75,roc_auc,93,LR,0.50767
454,chi_0.75,roc_auc,94,LR,0.52722
455,chi_0.75,roc_auc,95,LR,0.51136
456,chi_0.75,roc_auc,96,LR,0.50549
457,chi_0.75,roc_auc,97,LR,0.47541
458,chi_0.75,roc_auc,98,LR,0.50169
459,chi_0.75,roc_auc,99,LR,0.51753
460,chi_0.75,roc_auc,100,LR,0.47309
461,chi_0.75,roc_auc,101,LR,0.50765
462,chi_0.75,roc_auc,102,LR,0.53616
463,chi_0.75,roc_auc,103,LR,0.48809
464,chi_0.75,roc_auc,104,LR,0.49698
465,chi_0.75,roc_auc,105,LR,0.49061
466,chi_0.75,roc_auc,106,LR,0.48577
467,chi_0.75,roc_auc,107,LR,0.49586
468,chi_0.75,roc_auc,108,LR,0.51981
469,chi_0.75,roc_auc,109,LR,0.58394
470,chi_0.75,roc_auc,110,LR,0.50342
471,chi_0.75,roc_auc,111,LR,0.48804
472,chi_0.75,roc_auc,112,LR,0.50076
473,chi_0.75,roc_auc,113,LR,0.49671
474,chi_0.75,roc_auc,114,LR,0.51628
475,chi_0.75,roc_auc,115,LR,0.52367
476,chi_0.75,roc_auc,116,LR,0.50576
477,chi_0.75,roc_auc,117,LR,0.55171
478,chi_0.75,roc_auc,118,LR,0.5329
479,chi_0.75,roc_auc,119,LR,0.53461
480,chi_0.5,nef,0,LR,0.25962
481,chi_0.5,nef,1,LR,0.30769
482,chi_0.5,nef,2,LR,0.27885
483,chi_0.5,nef,3,LR,0.28155
484,chi_0.5,nef,4,LR,0.33654
485,chi_0.5,nef,5,LR,0.25
486,chi_0.5,nef,6,LR,0.31068
487,chi_0.5,nef,7,LR,0.25962
488,chi_0.5,nef,8,LR,0.29808
489,chi_0.5,nef,9,LR,0.25962
490,chi_0.5,nef,10,LR,0.27184
491,chi_0.5,nef,11,LR,0.28846
492,chi_0.5,nef,12,LR,0.30769
493,chi_0.5,nef,13,LR,0.23077
494,chi_0.5,nef,14,LR,0.27885
495,chi_0.5,nef,15,LR,0.27184
496,chi_0.5,nef,16,LR,0.24038
